epoch,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
469,0.536852,0.192066,0.344786,200000,9.92926
470,0.534813,0.191409,0.343404,200000,10.8313
471,0.53283,0.190814,0.342017,200000,10.6629
472,0.535853,0.191937,0.343916,200000,10.7207
473,0.535752,0.191909,0.343843,200000,10.9207
474,0.533928,0.191203,0.342725,200000,10.7585
475,0.533677,0.190981,0.342696,200000,10.4952
476,0.533963,0.191281,0.342683,200000,10.442
477,0.534894,0.191409,0.343485,200000,10.8766
478,0.533867,0.1911,0.342767,200000,10.5717
479,0.534548,0.191121,0.343427,200000,10.6983
480,0.534313,0.19137,0.342942,200000,10.6561
481,0.533862,0.191109,0.342753,200000,10.6312
482,0.534008,0.191181,0.342826,200000,10.0606
483,0.533496,0.191029,0.342467,200000,10.4366
484,0.532872,0.190678,0.342194,200000,11.029
485,0.532614,0.190582,0.342032,200000,10.6302
486,0.534724,0.191062,0.343662,200000,10.4461
487,0.534636,0.191132,0.343504,200000,10.0936
488,0.531775,0.190323,0.341453,200000,10.2416
489,0.533188,0.190667,0.342521,200000,10.4371
490,0.533318,0.19098,0.342338,200000,10.2642
491,0.532042,0.190746,0.341296,200000,10.485
492,0.532727,0.190756,0.341971,200000,10.8952
493,0.53357,0.191003,0.342568,200000,10.2256
494,0.531102,0.190327,0.340775,200000,10.902
495,0.533005,0.190707,0.342298,200000,10.7007
496,0.532166,0.190746,0.34142,200000,7.98722
497,0.531623,0.190585,0.341039,200000,9.22386
498,0.529679,0.190177,0.339502,200000,8.81432
499,0.532149,0.190993,0.341156,200000,10.9473
500,0.530265,0.190389,0.339876,200000,11.6741
501,0.529908,0.190238,0.339671,200000,9.97014
502,0.527559,0.189505,0.338054,200000,11.4493
503,0.531504,0.190671,0.340833,200000,10.411
504,0.530944,0.190355,0.340589,200000,11.2096
505,0.529838,0.190009,0.339829,200000,10.4455
506,0.52941,0.189905,0.339505,200000,11.4213
507,0.530554,0.19015,0.340404,200000,10.6011
508,0.530704,0.190417,0.340287,200000,11.2632
509,0.529549,0.190035,0.339514,200000,11.2595
510,0.528765,0.189998,0.338767,200000,10.8124
511,0.530525,0.190576,0.339949,200000,10.8387
512,0.529142,0.190294,0.338848,200000,9.13007
513,0.529026,0.190069,0.338957,200000,10.7414
514,0.531703,0.190674,0.341028,200000,9.9011
515,0.528962,0.190055,0.338907,200000,10.7947
516,0.529252,0.190045,0.339207,200000,11.5296
517,0.52869,0.189854,0.338836,200000,10.7163
518,0.531273,0.190572,0.340702,200000,11.1694
519,0.528266,0.189693,0.338573,200000,10.1748
520,0.530407,0.190238,0.340169,200000,11.2027
521,0.528007,0.189516,0.338491,200000,9.53817
522,0.530337,0.190291,0.340046,200000,11.1892
523,0.528632,0.189785,0.338848,200000,10.435
524,0.526098,0.188966,0.337132,200000,10.7916
525,0.527757,0.189668,0.338089,200000,9.89475
526,0.526072,0.189237,0.336835,200000,9.73537
527,0.527279,0.189356,0.337923,200000,11.3599
528,0.528905,0.189705,0.339201,200000,10.7516
529,0.526669,0.189005,0.337664,200000,9.75731
530,0.530088,0.189869,0.340219,200000,9.24697
531,0.528252,0.189491,0.338762,200000,10.8044
532,0.527367,0.189164,0.338202,200000,10.6822
533,0.528304,0.189411,0.338892,200000,10.757
534,0.526244,0.189021,0.337223,200000,10.4152
535,0.527186,0.18923,0.337956,200000,11.0801
536,0.527678,0.189293,0.338385,200000,10.6548
537,0.526923,0.189202,0.337721,200000,9.65713
538,0.527158,0.189108,0.33805,200000,11.2073
539,0.527534,0.189241,0.338293,200000,10.2035
540,0.52592,0.188704,0.337217,200000,10.2779
541,0.529192,0.189644,0.339548,200000,10.5834
542,0.525683,0.188625,0.337058,200000,11.9275
543,0.527233,0.189091,0.338142,200000,10.8693
544,0.527186,0.189237,0.33795,200000,11.4462
545,0.527914,0.189676,0.338238,200000,10.7948
546,0.525547,0.188606,0.336941,200000,10.4755
547,0.526047,0.189091,0.336956,200000,10.1303
548,0.527718,0.189404,0.338314,200000,9.20427
549,0.525467,0.188572,0.336896,200000,10.4855
550,0.525432,0.188621,0.336811,200000,11.0881
551,0.526773,0.189224,0.33755,200000,9.51424
552,0.524942,0.188533,0.336409,200000,10.5038
553,0.526553,0.189124,0.33743,200000,9.2226
554,0.525026,0.188672,0.336354,200000,9.9135
